Name,Tropfschale,
File,C:\Users\student\Documents\HotDogMaker\myMeasurements\Bodenplatte_30min Betrieb.csv,
Starttime of export,134159730394650000,Donnerstag, 19. Februar 2026,12:10:39.465
Endtime of export,134159742394650000,Donnerstag, 19. Februar 2026,12:30:39.465


Name,measuredTemperature,Name,temperatureSensor
SymbolComment,,SymbolComment,
Data-Type,REAL32,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,4,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,61472
IndexOffset,387076,IndexOffset,387148
SymbolName,MAIN.measuredTemperature,SymbolName,GVL.temperatureSensor
NetID,169.254.227.188.1.1,NetID,169.254.227.188.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

0,62.7040024,0,397
10,62.896,10,403
20,62.672,20,396
30,62.896,30,403
40,62.64,40,395
50,63.0240021,50,407
60,62.64,60,395
70,62.864,70,402
80,62.7040024,80,397
90,62.96,90,405
100,62.7040024,100,397
110,62.896,110,403
120,62.7040024,120,397
130,62.96,130,405
140,62.608,140,394
150,62.96,150,405
160,62.768,160,399
170,62.832,170,401
180,62.768,180,399
190,62.896,190,403
200,62.608,200,394
210,62.896,210,403
220,62.768,220,399
230,62.96,230,405
240,62.672,240,396
250,62.928,250,404
260,62.8,260,400
270,62.832,270,401
280,62.608,280,394
290,62.896,290,403
300,62.64,300,395
310,62.896,310,403
320,62.576,320,393
330,62.928,330,404
340,62.64,340,395
350,62.896,350,403
360,62.608,360,394
370,62.896,370,403
380,62.672,380,396
390,62.864,390,402
400,62.672,400,396
410,62.896,410,403
420,62.64,420,395
430,62.896,430,403
440,62.608,440,394
450,62.896,450,403
460,62.64,460,395
470,62.896,470,403
480,62.7040024,480,397
490,62.96,490,405
500,62.64,500,395
510,62.896,510,403
520,62.7040024,520,397
530,62.864,530,402
540,62.672,540,396
550,62.928,550,404
560,62.768,560,399
570,62.8,570,400
580,62.672,580,396
590,62.896,590,403
600,62.7040024,600,397
610,62.896,610,403
620,62.64,620,395
630,62.896,630,403
640,62.672,640,396
650,62.896,650,403
660,62.672,660,396
670,62.896,670,403
680,62.7040024,680,397
690,62.896,690,403
700,62.672,700,396
710,62.928,710,404
720,62.64,720,395
730,62.864,730,402
740,62.64,740,395
750,62.832,750,401
760,62.64,760,395
770,62.864,770,402
780,62.64,780,395
790,62.896,790,403
800,62.672,800,396
810,62.928,810,404
820,62.7040024,820,397
830,62.864,830,402
840,62.7040024,840,397
850,62.864,850,402
860,62.608,860,394
870,62.928,870,404
880,62.7040024,880,397
890,62.96,890,405
900,62.768,900,399
910,62.864,910,402
920,62.64,920,395
930,62.928,930,404
940,62.7040024,940,397
950,62.896,950,403
960,62.608,960,394
970,62.896,970,403
980,62.64,980,395
990,62.896,990,403
1000,62.64,1000,395
1010,62.896,1010,403
1020,62.544,1020,392
1030,62.896,1030,403
1040,62.7040024,1040,397
1050,62.928,1050,404
1060,62.7040024,1060,397
1070,62.96,1070,405
1080,62.672,1080,396
