Name	Scope_Temp_Time	
File	C:\Users\student\Documents\HotDogMaker\myMeasurements\StepResponseData.csv	
Starttime of export	134154489323190000	Freitag, 13. Februar 2026	10:35:32.319
Endtime of export	134154495323190000	Freitag, 13. Februar 2026	10:45:32.319


Name	temperatureSensor	Name	measuredTemperature	Name	heaterElementEnable
SymbolComment		SymbolComment		SymbolComment	
Data-Type	INT16	Data-Type	REAL32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448	IndexGroup	61488
IndexOffset	387148	IndexOffset	387076	IndexOffset	387075
SymbolName	GVL.temperatureSensor	SymbolName	MAIN.measuredTemperature	SymbolName	GVL.heaterElementEnable
NetID	169.254.227.188.1.1	NetID	169.254.227.188.1.1	NetID	169.254.227.188.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-554	0	26,272	0	1
10	-545	10	26,56	10	1
20	-546	20	26,528	20	1
30	-545	30	26,56	30	1
40	-554	40	26,272	40	1
50	-545	50	26,56	50	1
60	-553	60	26,3039989	60	1
70	-543	70	26,6239986	70	1
80	-555	80	26,24	80	1
90	-544	90	26,592	90	1
100	-557	100	26,1759987	100	1
110	-545	110	26,56	110	1
120	-553	120	26,3039989	120	1
130	-544	130	26,592	130	1
140	-555	140	26,24	140	1
150	-544	150	26,592	150	1
160	-554	160	26,272	160	1
170	-545	170	26,56	170	1
180	-547	180	26,4959984	180	1
190	-543	190	26,6239986	190	1
200	-547	200	26,4959984	200	1
210	-545	210	26,56	210	1
220	-554	220	26,272	220	1
230	-545	230	26,56	230	1
240	-555	240	26,24	240	1
250	-545	250	26,56	250	1
260	-553	260	26,3039989	260	1
270	-545	270	26,56	270	1
280	-554	280	26,272	280	1
290	-545	290	26,56	290	1
300	-553	300	26,3039989	300	1
310	-546	310	26,528	310	1
320	-553	320	26,3039989	320	1
330	-547	330	26,4959984	330	1
340	-552	340	26,3359985	340	1
350	-543	350	26,6239986	350	1
360	-553	360	26,3039989	360	1
370	-544	370	26,592	370	1
380	-547	380	26,4959984	380	1
390	-544	390	26,592	390	1
400	-553	400	26,3039989	400	1
410	-546	410	26,528	410	1
420	-554	420	26,272	420	1
430	-544	430	26,592	430	1
440	-554	440	26,272	440	1
450	-543	450	26,6239986	450	1
460	-553	460	26,3039989	460	1
470	-545	470	26,56	470	1
480	-554	480	26,272	480	1
490	-544	490	26,592	490	1
500	-553	500	26,3039989	500	1
510	-543	510	26,6239986	510	1
520	-556	520	26,2079983	520	1
530	-545	530	26,56	530	1
540	-554	540	26,272	540	1
550	-544	550	26,592	550	1
560	-554	560	26,272	560	1
570	-544	570	26,592	570	1
580	-557	580	26,1759987	580	1
590	-546	590	26,528	590	1
600	-555	600	26,24	600	1
610	-546	610	26,528	610	1
620	-547	620	26,4959984	620	1
630	-544	630	26,592	630	1
640	-553	640	26,3039989	640	1
650	-544	650	26,592	650	1
660	-554	660	26,272	660	1
670	-545	670	26,56	670	1
680	-547	680	26,4959984	680	1
690	-543	690	26,6239986	690	1
700	-553	700	26,3039989	700	1
710	-546	710	26,528	710	1
720	-553	720	26,3039989	720	1
730	-545	730	26,56	730	1
740	-547	740	26,4959984	740	1
750	-546	750	26,528	750	1
760	-546	760	26,528	760	1
770	-545	770	26,56	770	1
780	-551	780	26,368	780	1
790	-547	790	26,4959984	790	1
800	-547	800	26,4959984	800	1
810	-544	810	26,592	810	1
820	-555	820	26,24	820	1
830	-543	830	26,6239986	830	1
840	-555	840	26,24	840	1
850	-545	850	26,56	850	1
860	-554	860	26,272	860	1
870	-544	870	26,592	870	1
880	-547	880	26,4959984	880	1
890	-546	890	26,528	890	1
900	-554	900	26,272	900	1
910	-541	910	26,688	910	1
920	-554	920	26,272	920	1
930	-546	930	26,528	930	1
940	-547	940	26,4959984	940	1
950	-544	950	26,592	950	1
960	-554	960	26,272	960	1
970	-545	970	26,56	970	1
980	-553	980	26,3039989	980	1
990	-545	990	26,56	990	1
1000	-554	1000	26,272	1000	1
1010	-547	1010	26,4959984	1010	1
1020	-552	1020	26,3359985	1020	1
1030	-544	1030	26,592	1030	1
1040	-553	1040	26,3039989	1040	1
1050	-543	1050	26,6239986	1050	1
1060	-551	1060	26,368	1060	1
1070	-544	1070	26,592	1070	1
1080	-554	1080	26,272	1080	1
1090	-543	1090	26,6239986	1090	1
1100	-547	1100	26,4959984	1100	1
1110	-545	1110	26,56	1110	1
1120	-547	1120	26,4959984	1120	1
1130	-545	1130	26,56	1130	1
1140	-554	1140	26,272	1140	1
1150	-545	1150	26,56	1150	1
1160	-547	1160	26,4959984	1160	1
1170	-543	1170	26,6239986	1170	1
1180	-547	1180	26,4959984	1180	1
1190	-541	1190	26,688	1190	1
1200	-554	1200	26,272	1200	1
1210	-545	1210	26,56	1210	1
1220	-554	1220	26,272	1220	1
1230	-544	1230	26,592	1230	1
1240	-554	1240	26,272	1240	1
1250	-545	1250	26,56	1250	1
1260	-547	1260	26,4959984	1260	1
1270	-543	1270	26,6239986	1270	1
1280	-555	1280	26,24	1280	1
1290	-547	1290	26,4959984	1290	1
1300	-553	1300	26,3039989	1300	1
1310	-545	1310	26,56	1310	1
1320	-553	1320	26,3039989	1320	1
1330	-545	1330	26,56	1330	1
1340	-554	1340	26,272	1340	1
1350	-545	1350	26,56	1350	1
1360	-554	1360	26,272	1360	1
1370	-541	1370	26,688	1370	1
1380	-553	1380	26,3039989	1380	1
1390	-546	1390	26,528	1390	1
1400	-553	1400	26,3039989	1400	1
1410	-546	1410	26,528	1410	1
1420	-554	1420	26,272	1420	1
1430	-546	1430	26,528	1430	1
1440	-554	1440	26,272	1440	1
1450	-547	1450	26,4959984	1450	1
1460	-553	1460	26,3039989	1460	1
1470	-544	1470	26,592	1470	1
1480	-553	1480	26,3039989	1480	1
1490	-543	1490	26,6239986	1490	1
1500	-552	1500	26,3359985	1500	1
1510	-543	1510	26,6239986	1510	1
1520	-551	1520	26,368	1520	1
1530	-545	1530	26,56	1530	1
1540	-547	1540	26,4959984	1540	1
1550	-544	1550	26,592	1550	1
1560	-554	1560	26,272	1560	1
1570	-544	1570	26,592	1570	1
1580	-547	1580	26,4959984	1580	1
1590	-540	1590	26,72	1590	1
1600	-555	1600	26,24	1600	1
1610	-543	1610	26,6239986	1610	1
1620	-555	1620	26,24	1620	1
1630	-545	1630	26,56	1630	1
1640	-553	1640	26,3039989	1640	1
1650	-541	1650	26,688	1650	1
1660	-554	1660	26,272	1660	1
1670	-544	1670	26,592	1670	1
1680	-555	1680	26,24	1680	1
1690	-546	1690	26,528	1690	1
1700	-547	1700	26,4959984	1700	1
1710	-545	1710	26,56	1710	1
1720	-547	1720	26,4959984	1720	1
1730	-545	1730	26,56	1730	1
1740	-554	1740	26,272	1740	1
1750	-545	1750	26,56	1750	1
1760	-553	1760	26,3039989	1760	1
1770	-543	1770	26,6239986	1770	1
1780	-553	1780	26,3039989	1780	1
1790	-544	1790	26,592	1790	1
1800	-553	1800	26,3039989	1800	1
1810	-545	1810	26,56	1810	1
1820	-557	1820	26,1759987	1820	1
1830	-546	1830	26,528	1830	1
1840	-554	1840	26,272	1840	1
1850	-545	1850	26,56	1850	1
1860	-555	1860	26,24	1860	1
1870	-547	1870	26,4959984	1870	1
1880	-553	1880	26,3039989	1880	1
1890	-545	1890	26,56	1890	1
1900	-554	1900	26,272	1900	1
1910	-560	1910	26,08	1910	1
1920	-553	1920	26,3039989	1920	1
1930	-528	1930	27,104	1930	1
1940	-561	1940	26,0479984	1940	1
1950	-531	1950	27,008	1950	1
1960	-560	1960	26,08	1960	1
1970	-535	1970	26,88	1970	1
1980	-562	1980	26,0159988	1980	1
1990	-537	1990	26,816	1990	1
2000	-557	2000	26,1759987	2000	1
2010	-537	2010	26,816	2010	1
2020	-563	2020	25,984	2020	1
2030	-532	2030	26,976	2030	1
2040	-561	2040	26,0479984	2040	1
2050	-535	2050	26,88	2050	1
2060	-561	2060	26,0479984	2060	1
2070	-536	2070	26,848	2070	1
2080	-559	2080	26,112	2080	1
2090	-538	2090	26,7839985	2090	1
2100	-560	2100	26,08	2100	1
2110	-536	2110	26,848	2110	1
2120	-561	2120	26,0479984	2120	1
2130	-538	2130	26,7839985	2130	1
2140	-562	2140	26,0159988	2140	1
2150	-536	2150	26,848	2150	1
2160	-560	2160	26,08	2160	1
2170	-539	2170	26,7519989	2170	1
2180	-560	2180	26,08	2180	1
2190	-536	2190	26,848	2190	1
2200	-560	2200	26,08	2200	1
2210	-538	2210	26,7839985	2210	1
2220	-560	2220	26,08	2220	1
2230	-537	2230	26,816	2230	1
2240	-563	2240	25,984	2240	1
2250	-536	2250	26,848	2250	1
2260	-560	2260	26,08	2260	1
2270	-538	2270	26,7839985	2270	1
2280	-557	2280	26,1759987	2280	1
2290	-537	2290	26,816	2290	1
2300	-561	2300	26,0479984	2300	1
2310	-537	2310	26,816	2310	1
2320	-559	2320	26,112	2320	1
2330	-538	2330	26,7839985	2330	1
2340	-554	2340	26,272	2340	1
2350	-535	2350	26,88	2350	1
2360	-560	2360	26,08	2360	1
2370	-537	2370	26,816	2370	1
2380	-563	2380	25,984	2380	1
2390	-535	2390	26,88	2390	1
2400	-554	2400	26,272	2400	1
