Name,Tropfschale,
File,C:\Users\student\Documents\HotDogMaker\myMeasurements\Scope Project.csv,
Starttime of export,134159716462650000,Donnerstag, 19. Februar 2026,11:47:26.265
Endtime of export,134159728462650000,Donnerstag, 19. Februar 2026,12:07:26.265


Name,measuredTemperature,Name,temperatureSensor
SymbolComment,,SymbolComment,
Data-Type,REAL32,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,4,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,61472
IndexOffset,387076,IndexOffset,387148
SymbolName,MAIN.measuredTemperature,SymbolName,GVL.temperatureSensor
NetID,169.254.227.188.1.1,NetID,169.254.227.188.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

0,22.768,0,-851
10,23.0559978,10,-842
20,22.8319988,20,-849
30,23.1519985,30,-839
40,22.7359982,40,-852
50,23.0239983,50,-843
60,22.768,60,-851
70,23.1199989,70,-840
80,22.7359982,80,-852
90,23.1199989,90,-840
100,22.7359982,100,-852
110,23.1519985,110,-839
120,22.768,120,-851
130,23.1199989,130,-840
140,22.768,140,-851
150,23.1519985,150,-839
160,22.8,160,-850
170,23.1199989,170,-840
180,22.671999,180,-854
190,23.1199989,190,-840
200,22.8,200,-850
210,23.0239983,210,-843
220,22.8,220,-850
230,23.1199989,230,-840
240,22.7359982,240,-852
250,23.1519985,250,-839
260,22.7359982,260,-852
270,23.1199989,270,-840
280,22.7359982,280,-852
290,23.1519985,290,-839
300,22.7359982,300,-852
310,23.1519985,310,-839
320,22.8,320,-850
330,23.088,330,-841
340,22.7359982,340,-852
350,23.1199989,350,-840
360,22.8,360,-850
370,23.088,370,-841
380,22.64,380,-855
390,23.088,390,-841
400,22.7359982,400,-852
410,23.0559978,410,-842
420,22.7359982,420,-852
430,23.1199989,430,-840
440,22.768,440,-851
450,23.0239983,450,-843
460,22.64,460,-855
470,23.1199989,470,-840
480,22.7359982,480,-852
490,23.0559978,490,-842
500,22.671999,500,-854
510,23.1199989,510,-840
520,22.768,520,-851
530,23.1199989,530,-840
540,22.768,540,-851
550,23.1199989,550,-840
560,22.671999,560,-854
570,23.1199989,570,-840
580,22.8,580,-850
590,23.1199989,590,-840
600,22.8,600,-850
610,23.0559978,610,-842
620,22.64,620,-855
630,23.1199989,630,-840
640,22.7359982,640,-852
650,23.0239983,650,-843
660,22.768,660,-851
670,23.088,670,-841
680,22.7359982,680,-852
690,23.1199989,690,-840
700,22.671999,700,-854
710,23.1199989,710,-840
720,22.7359982,720,-852
730,23.1199989,730,-840
740,22.671999,740,-854
750,23.1199989,750,-840
760,22.768,760,-851
770,23.0559978,770,-842
780,22.7359982,780,-852
790,23.0239983,790,-843
800,22.7359982,800,-852
810,23.088,810,-841
820,22.671999,820,-854
830,23.1199989,830,-840
840,22.8319988,840,-849
850,23.0559978,850,-842
860,22.768,860,-851
870,23.1199989,870,-840
880,22.768,880,-851
890,23.0559978,890,-842
900,22.7359982,900,-852
910,23.088,910,-841
920,22.7359982,920,-852
